unit	c_sources	status	crate	bench_ratio	notes
backend-access-gin-ginutil	src/backend/access/gin/ginutil.c	ported	gin	e2e-gated	m2-gin; jsonb_ops flagship; initGinState=rule-4 opclass enum (jsonb_ops + jsonb_path_ops + tsvector_ops + array_ops; multicol/unknown LOUD) cached in rd_amcache_gin; GinNewBuffer/InitPage/Metabuffer/CompareEntries/ExtractEntries/GetStats/UpdateStats live; ginoptions LOUD (WITH-option gin indexes); GUC slots GinFuzzySearchLimit+gin_pending_list_limit installed by gin::init_seams; scripts/gin-index-e2e.sh 16/16 PASS incl index-file byte-parity vs C-built ref (lsn-masked) + EXPLAIN byte-identical
backend-access-gin-ginscan	src/backend/access/gin/ginscan.c	ported	gin	e2e-gated	scan.rs; keys/entries in owned key_ctx (C keyCtx, reset per rescan); entry dedup <100; hidden EMPTY/EVERYTHING entries; excludeOnly reorder (stable sort)
backend-access-gin-ginxlog	src/backend/access/gin/ginxlog.c	ported	gin_xlog	cold(redo)	all 9 redo arms live (recompress ADDITEMS merge lane incl); pre-9.4 uncompressed conversion LOUD; gin_mask LOUD (bufmask lane); WAL 3-direction e2e: ours-replays-ours + C-replays-ours + ours-replays-C all PASS
backend-access-gin-ginvacuum	src/backend/access/gin/ginvacuum.c	loud	gin	-	ginbulkdelete/ginvacuumcleanup named LOUD (vacuum lane); analyze_only arm = C no-op; GinPageIsRecyclable live (deleted list pages recyclable, posting-tree deletions LOUD)
backend-access-gin-ginget	src/backend/access/gin/ginget.c	ported	gin	e2e-gated	get.rs; gingetbitmap + entry/key streams + scanPendingInsert live; partial match LOUD; EMPTY_QUERY collectMatchBitmap live; GinFuzzySearchLimit reduce lane live
backend-access-gin-core	src/backend/access/gin/ginarrayproc.c,src/backend/access/gin/ginbtree.c,src/backend/access/gin/ginentrypage.c,src/backend/access/gin/ginlogic.c,src/backend/access/gin/ginpostinglist.c,src/backend/access/gin/ginvalidate.c	ported	gin	e2e-gated	btree.rs (GinBt trait = monomorphized GinBtreeData, arena stacks + u32 parents), entrypage.rs, postinglist.rs (varbyte byte-exact, unit-tested vs C layout), logic.rs (direct bool/tri dispatch; shims unreachable in closed set); ginarrayproc live 2026-07-05 (batch-indexam-misc): array_ops opclass in the closed set — extract/queryextract via deconstruct_array, consistent/triconsistent ported, compare = element-type btree cmp (int2/int4/int8/oid/text closed set, typcache-fallback semantics), null element keys (GIN_CAT_NULL_KEY) live through ExtractEntries/scan-key categories; ginvalidate not needed (closed set)
backend-access-gin-extra	-	combined-into:backend-access-gin-core			
backend-access-gin-gindatapage	src/backend/access/gin/gindatapage.c	ported	gin	e2e-gated	datapage.rs; disassemble/addItems/repack/split + createPostingTree + ginInsertItemPointers; pre-9.4 uncompressed LOUD; segment scratch in bump contexts
backend-access-gin-validate-unconstify	-	combined-into:backend-access-gin-core-probe			fabled:backend-access-gin-core-probe
backend-access-gist-core-probe	-	combined-into:backend-access-gist-core			fabled:duplicate-of; m1-dep(stub-ok)
backend-access-gist-core	src/backend/access/gist/gist.c,src/backend/access/gist/gistget.c,src/backend/access/gist/gistscan.c,src/backend/access/gist/gistsplit.c,src/backend/access/gist/gistutil.c,src/backend/access/gist/gistvacuum.c,src/backend/access/gist/gistvalidate.c,src/backend/access/gist/gistxlog.c	ported	gist	cold(off M-spine; no gist statements in gates); box_ops gold gates via scripts/gist-index-e2e.sh; LOUD: vacuum, KNN, buffered+sorted build, poly/circle, standby arms, gist_mask; notes/gist-lane.md + notes/audits/gist.md; 2026-07-05 sweep-smalls-3 rider: gistGetFakeLSN unlogged arm -> GetFakeLSNForUnloggedRel (gistutil.c:1056); 2026-07-06 vacuum-conformance-lane: gistvacuum.c LIVE — gistbulkdelete (dead-TID delete arm: PageIndexMultiDelete+F_TUPLES_DELETED+gistXLogUpdate one-record-per-page), gistvacuumcleanup stats scan, gistvacuum_delete_empty_pages+gistdeletepage (child-first relock, GistPageSetDeleted, gistXLogPageDelete), gistPageRecyclable real GlobalVisCheckRemovableFullXid (heaprel horizon; C passes NULL rel — noted divergence); IntegerSets rendered as Vec/BTreeSet; invalid inner tuple LOG (was panic); gistvacuum.c louds retired (vacuum.out pvactst arms now surface the spgvacuum.c lane behind them)
backend-access-gist-build	src/backend/access/gist/gistbuild.c,src/backend/access/gist/gistbuildbuffers.c	ported	gistbuild	cold; plain insert-based build live; buffered (gistbuildbuffers.c) + sorted (sortsupport/point_ops) LOUD; 2026-07-05 sweep-smalls-3: +gistbuildempty (INIT_FORKNUM F_LEAF root, log_newpage_buffer)
backend-access-gist-proc	src/backend/access/gist/gistproc.c	ported	gistproc	cold; box_ops live (pg_qsort-exact picksplit), point compress/fetch/consistent live (all strategy groups incl poly/circle), poly_ops+circle_ops compress/consistent live (bbox keys, byte-identical); distance/sortsupport LOUD; scoped geo_ops.c box+point subset in adt_geo; 2026-07-05 batch-fmgr-tail: gist_point_sortsupport 3435 (z-order cmp in tuplesort::ssup, monomorphized GistPointZorder arm; abbrev not armed - index-build sorts never abbreviate here, ordering identical)
backend-access-hash-core	src/backend/access/hash/hashinsert.c,src/backend/access/hash/hashovfl.c,src/backend/access/hash/hashpage.c,src/backend/access/hash/hashsearch.c,src/backend/access/hash/hashutil.c	ported	hash	e2e-gated	fabled:backend-access-hash-core; 2026-07-03 hash-index-lane: full core (doinsert/expandtable/splitbucket/finish_split/addovflpage/freeovflpage/squeezebucket/search fwd+bwd/kill_items/amcache metapage cache in new rd_amcache_hash); hashkey via rd_supportinfo slot-1 resolved-once + hashint4 kernel; scan items MaybeUninit (no 3.3KB memset); split/squeeze batches use one retained Vec (no per-tuple CopyIndexTuple palloc); LOUD: _hash_vacuum_one_page xid-horizon (genam unported), reloptions fillfactor; e2e scripts/hash-index-e2e.sh ALL PASS incl whole-file page parity vs C-built ref (lsn-masked) + pageinspect sweeps by C 18.3; bench-crate/audit-crate pending before merge; 2026-07-04 sev2-silent-fixes bd0e0897b: hash-core audit F1 RESOLVED — _hash_first bumps xs_nsearches (hashsearch.c:301-302)
backend-access-hash-entry	src/backend/access/hash/hash.c,src/backend/access/hash/hashsort.c	ported	hash,hashsort	e2e-gated	fabled:backend-access-hash-entry; 2026-07-03 hash-index-lane: hashbuild (sorted spool via tuplesort_begin_index_hash lane + below-threshold insert loop, C-exact threshold min(maintenance_work_mem/BLCKSZ,NBuffers)), hashbuildempty, hashinsert/gettuple/getbitmap/beginscan/rescan/endscan + hashbucketcleanup split-cleanup arm; IndexAmKind::Hash across relscan/indexam/amapi/plancat/selfuncs(hashcostestimate)/indexcmds/catalog_index(amkeytype INT4); LOUD: hashbulkdelete/hashvacuumcleanup (VACUUM lane), temp-relation build threshold, parallel build; EXPLAIN byte-identical vs C; metapage byte-identical vs C-built ref over identical 100k data; 2026-07-03 simpledel session: same killedItems overwrite-at-numKilled fix applied to the hash twin (hashgettuple push path; _hash_kill_items resets without truncating); publication-lane 2026-07-03: hash_procinfo borrow-release, same shape as nbtree order_procinfo
backend-access-hash-func	-	combined-into:backend-access-hashfunc			fabled:duplicate-of
backend-access-hash-xlog	src/backend/access/hash/hash_xlog.c	ported	hash_xlog	e2e-gated	fabled:backend-access-hash-xlog; 2026-07-03 hash-index-lane: all 13 redo arms live (INIT_META/INIT_BITMAP/INSERT/ADD_OVFL/SPLIT_ALLOCATE/SPLIT_PAGE/SPLIT_COMPLETE/MOVE/SQUEEZE/DELETE/SPLIT_CLEANUP/UPDATE_META/VACUUM_ONE_PAGE), rmgr RM_HASH_ID row wired; crash recovery e2e both directions (pgrust redo of pgrust WAL, C redo of pgrust WAL incl ADD_OVFL/SPLIT_*/SQUEEZE mix, pgrust redo of C WAL); LOUD: hash_mask (bufmask.c repo-wide), hot-standby conflict arm of vacuum_one_page
backend-access-hashfunc	src/backend/access/hash/hashfunc.c	ported	varlena(+adt crates)	hash_bytes core 0.90x-1.00x instr tuned-V2 @949eb9b42 (job -949eb9b42f-1783186383); hash_ext_32 1.56x = PRE-EXISTING main drift, A/B-attributed docs/optimizations/2026-07-04-hashext-drift.md	fabled:backend-access-hashfunc; 2026-07-04 idxam-hashfunc-sub rescore: ALL 26 hashfunc.c fns live — hashchar/int2/int4/oid(+ext) adt_int/adt_scalar, hashint8(+ext) adt_int8, hashenum(+ext) adt_enum, hashfloat4/8(+ext) adt_float, hashoidvector(+ext) adt_scalar, hashname(+ext) name, hashtext(+ext) varlena (collation-aware, nondeterministic via pg_locale seam); this lane: hashvarlena 456/hashvarlenaextended 772/hashbytea 6413/hashbyteaextended 6414 in varlena over hashfn::hash_bytes(_extended) — bytea hash opclass amprocs now live; scripts/hashfunc-e2e.sh (text+bytea+toasted index build page parity vs C, fn-value parity)
backend-access-hashinsert	-	combined-into:backend-access-hash-core			fabled:backend-access-hash-core; m1-dep(stub-ok)
backend-access-hashovfl	-	combined-into:backend-access-hash-core			fabled:backend-access-hash-core; m1-dep(stub-ok)
backend-access-hashpage	-	combined-into:backend-access-hash-core			fabled:backend-access-hash-core; m1-dep(stub-ok)
backend-access-hashsearch	-	combined-into:backend-access-hash-core			fabled:backend-access-hash-core; m1-dep(stub-ok)
backend-access-hashutil	-	combined-into:backend-access-hash-core			fabled:backend-access-hash-core; m1-dep(stub-ok)
backend-access-hashvalidate	src/backend/access/hash/hashvalidate.c	ported	hash_validate	cold(DDL only)	fabled:backend-access-hashvalidate; 2026-07-04 rewrite-viewstore batch: hashadjustmembers live (HASHSTANDARD_PROC/cross-type soft family deps, opclass_for_family_datatype hard deps, CCI before opcintype read) wired into amapi am_adjust_members Hash arm; hashvalidate itself still loud in amvalidate | 2026-07-04 definestmt-tail lane: hashvalidate LIVE (hashvalidate.c:40-262; HASHSTANDARD/HASHEXTENDED/HASHOPTIONS signature checks, hashabletypes tracking, strategy/ORDER BY/opclass-group/cross-type completeness INFOs) wired into amapi amvalidate Hash arm; gist/gin/spgist validate stay loud
backend-access-heap-heapam-handler	src/backend/access/heap/heapam_handler.c	ported	heapam_handler	m2-point-gate: composed point 1.362x-instr/1.016x-ns, fullscan 1.353x/1.164x (seqscan slope CONFIRMED +~68/row extra in agg composition), orderby 1.192x/1.133x - ALL FAIL (job 1783063739 @ 5d9dd99; docs/benchmarks/m2-point-gate.md)	fabled:backend-access-heap-heapam-handler-core; m1-spine; READ LANE: index_fetch_begin/reset/end/tuple (IndexFetchHeapData = xs_rel + BufferPin xs_cbuf), fetch_row_version (pin transfer via BufferPin::into_buffer), tuple_tid_valid, get_latest_tid adapter, tuple_satisfies_snapshot; executed the vocabulary hoist: new crate tableam_vocab (tableam.h/relscan.h types + synchronize_seqscans + block parallelscan startblock_init/nextpage, ss_* now real syncscan_seams) breaks the tableam->handler->heapam cycle (heapam now deps vocab, tableam re-exports); tableam TableScanDesc/IndexFetchTableData became closed single-variant enums over the heap extensions (rule 4; const-assert tagless, so table_scan_getnextslot is a direct heap_getnextslot call - zero per-tuple glue, verify at the bufmgr composition bench); flipped read-lane mod-heap stubs to direct heapam/handler calls (scan begin/end/rescan/getnextslot/tidrange, index-fetch, fetch/tid/satisfies); DML+index_delete_tuples+analyze/bitmap/sample stay loud per phase 2; also flipped exectuples exec_store_buffer_heap_tuple/_pinned + clear/materialize buffer release onto bufmgr_seams (was bufmgr_unported), and indexam fetch::* onto tableam (xs_heaptid now &mut - C mutates tid on HOT resolve, load-bearing for continuation); C divergence: heapam_index_fetch_tuple SnapshotAny loud-panics (visibility seam needs a real snapshot); 5 tests (HOT-chain fetch lifecycle, all-dead, pin transfer, tid/latest, tableam seqscan composition), Miri clean (SB, fixture Box::leak ignored), density 4.9% (vocab 4.7%, tableam 4.5%); bench with bufmgr composition; cold-audit 2026-07-02: retag m2-point-gate (heapam_index_fetch_tuple per tuple on M2; heap_fetch/scan glue quantified in read-composition 1.11-1.21x tracked); 2026-07-02 DML callbacks tuple_update/tuple_delete live (hosted in tableam heap module); 2026-07-03 EPQ tuple-lock landing (branch epq-tuple-lock): heapam_tuple_lock FIND_LAST_VERSION chase over heap_lock_tuple + heap_fetch_dirty (new heap_tuple_satisfies_dirty seam, dirty xmin/xmax write-back); GetCmin only under our-own priorXmax (combocid assert); LOUD: NOWAIT/SKIP LOCKED chase waits; tableam heap::tuple_lock flipped live; scripts/epq-e2e.sh 6 scenarios byte-exact vs live PG 18.3; 2026-07-03 inheritance lane fix: tuple_insert virtual/minimal source arm via exec_copy_slot_heap_tuple (C ExecFetchSlotHeapTuple copy path; multi-row VALUES routed into partitions panicked before); 2026-07-03 heap-batch lane (perf/heap-batch-scans @ 40e57dc6): same-page TID-run batch — one lock_share + one visibility pass per run (bt_peek_same_block_tids -> IndexFetchBatch fill/consume via tableam); m2 RANGE lane FAIL->DUAL PASS 0.885->0.824x instr / 1.006->0.945x wall vs fe38774f baseline, point/fullscan/orderby/select1/m3 delta-flat; e2e scan matrix + concurrent visibility + LP_DEAD pageinspect byte-identical (docs/optimizations/heap-batch-scans.md); 2026-07-04 bottomup lane BUGFIX: heapam_tuple_lock chase loop took res.pin before res.tuple() -> keep_buf not-found arm always panicked 'keep_buf pin without tuple' XX000 (killed sysbench oltp_read_write/write_only/update_non_index under concurrency); field reads now precede the pin take; 2026-07-05 sweep-unowned-batch: unlogged INIT_FORKNUM leg of relation_set_new_filelocator LIVE (heapam_handler.c:583-623; smgr/md already fork-generic); index-AM buildempty legs still loud
backend-access-heap-heapam-visibility	src/backend/access/heap/heapam_visibility.c	ported	heapam_visibility	hint 1.00x ns / 0.92x instr PASS; derive 1.55x/2.04x justified (fleet 1783029741, c8gd/clang-16/neoverse-v2)	fabled:backend-access-heap-heapam-visibility; m1-spine; MVCC/Self/Any/Toast/Update/Dirty/Vacuum(+Horizon)/NonVacuumable/SurelyDead/IsOnlyLocked + SetHintBits ported C-exact; installs all 4 heapam_visibility_seams decls (read-lane marshal: DIRTY write-back + HISTORIC_MVCC loud-panic - DML lane / reorderbuffer unported); direct deps xact/procarray/snapmgr/heapam; TransactionIdDidCommit + GetCommitLSN via transam_seams (transam.c in flight - COLLAPSE TO DIRECT DEP when it lands); XLogNeedsFlush via transam_xlog_seams, MarkBufferDirtyHint/BufferIsPermanent/BufferGetLSNAtomic via bufmgr_seams (installed by bufmgr as loud panics, phase 2), MultiXactIdIsRunning via multixact_seams, Cmin/Cmax via combocid_seams, GlobalVisTestIsRemovableXid decl added to procarray_seams (procarray must implement); snapmgr::XidInMVCCSnapshot made inline(always) (warm path 73->50 instr/op); hint bits write through the tuple NonNull into the pinned page (Miri-clean); 14 tests, density 4.6%; bench: visibility_mvcc_hint (THE per-tuple MVCC gate, hinted warm path, via shipped seam) 1.00x C ns / 0.92x C instr = DUAL PASS; visibility_mvcc_derive (hint-bit derivation) 1.55x ns / 2.04x instr FAIL-justified: overage is transam/bufmgr seam boundaries (in flight; collapse to direct deps = watch item) + xact current-xid walk, per-tuple only until hints stick - see docs/benchmarks/heapam_visibility.md; 2026-07-04 logical-decode-p1: HeapTupleSatisfiesHistoricMVCC live (cmin/cmax via reorderbuffer ResolveCminCmaxDuringDecoding through snapmgr historic tuplecids)
